Unnamed: 0,imdb_ids,movie,year,imdb,metascore,votes,release_date,release_date_norm,title,title_norm,mpaa-rating,mpaa-rating_norm,running-time,franchises,franchises_norm,keywords,keywords_norm,source,source_norm,genre,genre_norm,production_method,production_method_norm,creative_type,creative_type_norm,production_companies,production_companies_norm,production_countries,production_countries_norm,languages,languages_norm,production_budget,domestic_gross,worldwide_gross,imdb_id
32598,195945,Next Friday,2000,61,41.0,34376,"Jan 12, 2000",2000/01/12,Next Friday,Next-Friday,R,R-(US),,Friday,Friday,African-American,African-American,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,9500000,57176582,59675307,195945.0
32599,229260,Book of Shadows: Blair Witch 2,2000,39,15.0,34303,"Oct 27, 2000",2000/10/27,Book of Shadows: Blair Witch 2,Book-of-Shadows-Blair-Witch-2,R,R-(US),,Blair Witch Project,Blair-Witch-Project,,,Original Screenplay,Original-Screenplay,Horror,Horror,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,15000000,26421314,47721314,229260.0
32600,211181,102 Dalmatians,2000,49,35.0,32505,"Nov 22, 2000",2000/11/22,102 Dalmatians,102-Dalmatians,G,G-(US),100.0,101 Dalmatians,101-Dalmatians,Live Action Cartoon,Live-Action-Cartoon,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Live Action,Live-Action,Kids Fiction,Kids-Fiction,Walt Disney Pictures,Walt-Disney-Pictures,United States,United-States,English,English,85000000,66941559,66941559,211181.0
32601,171580,Nurse Betty,2000,61,69.0,32028,"Sep 8, 2000",2000/09/08,Nurse Betty,Nurse-Betty,R,R-(US),110.0,,,,,Original Screenplay,Original-Screenplay,Black Comedy,Black-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Gramercy Pictures;Propaganda Films;AB'-Strakt Pictures;IMF,Gramercy-Pictures;Propaganda-Films;AB-Strakt-Pictures;IMF,United States,United-States,English,English,24000000,25170054,27732366,171580.0
32602,208988,Get Carter,2000,52,24.0,31156,"Oct 6, 2000",2000/10/06,Get Carter,Get-Carter,R,R-(US),,,,,,Remake,Remake,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,40000000,14967182,19417182,208988.0
32603,190374,Dungeons & Dragons,2000,36,14.0,30805,"Dec 8, 2000",2000/12/08,Dungeons and Dragons,Dungeons-and-Dragons,PG-13,PG-13-(US),,Dungeons & Dragons,Dungeons-and-Dragons,Sword & Sorcerer;Voiceover/Narration;Prologue;Dragon,Sword-and-Sorcerer;Voiceover-Narration;Prologue;Dragon,Based on Game,Based-on-Game,Adventure,Adventure,Live Action,Live-Action,Fantasy,Fantasy,Silver Pictures,Silver-Pictures,,,,,35000000,15185241,33771965,190374.0
32604,219653,Dracula 2000,2000,48,26.0,30741,"Dec 22, 2000",2000/12/22,Dracula 2000,Dracula-2000,R,R-(US),100.0,Dracula 2000,Dracula-2000,Vampire,Vampire,Original Screenplay,Original-Screenplay,Horror,Horror,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Dimension Films;Neo Art & Logic,Dimension-Films;Neo-Art-and-Logic,Canada;United States,Canada;United-States,English,English,28000000,33000377,33000377,219653.0
32605,198021,Where the Heart Is,2000,68,30.0,30572,"Apr 28, 2000",2000/04/28,Where the Heart Is,Where-the-Heart-Is,PG-13,PG-13-(US),,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,15000000,33771174,40862054,198021.0
32606,202677,The Way of the Gun,2000,67,49.0,30520,"Sep 8, 2000",2000/09/08,The Way of the Gun,Way-of-the-Gun-The,R,R-(US),,,,Film Noir,Film-Noir,Original Screenplay,Original-Screenplay,Action,Action,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,9000000,6047856,13061935,202677.0
32607,192614,The Skulls,2000,56,24.0,29840,"Mar 31, 2000",2000/03/31,The Skulls,Skulls-The,PG-13,PG-13-(US),,,,Fraternity/Sorority,Fraternity-Sorority,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,15000000,35007180,35007180,192614.0
