Unnamed: 0,imdb_ids,movie,year,imdb,metascore,votes,release_date,release_date_norm,title,title_norm,mpaa-rating,mpaa-rating_norm,running-time,franchises,franchises_norm,keywords,keywords_norm,source,source_norm,genre,genre_norm,production_method,production_method_norm,creative_type,creative_type_norm,production_companies,production_companies_norm,production_countries,production_countries_norm,languages,languages_norm,production_budget,domestic_gross,worldwide_gross,imdb_id
4,27125,Top Hat,1935,78,,16019,"Sep 6, 1935",1935/09/06,Top Hat,Top-Hat,Not Rated,Not-Rated-(US),101.0,,,,,,,,,,,,,,,United States,United-States,English,English,609000,1782000,3202000,27125.0
500,27977,Modern Times,1936,85,96.0,196871,"Feb 5, 1936",1936/02/05,Modern Times,Modern-Times,G,G-(US),87.0,,,,,,,Comedy,Comedy,Live Action,Live-Action,,,,,United States,United-States,English,English,1500000,163245,199747,27977.0
516,28216,San Francisco,1936,72,,4594,"Jun 26, 1936",1936/06/26,San Francisco,San-Francisco,Not Rated,Not-Rated-(US),115.0,,,,,,,,,,,,,,,United States,United-States,English,English,1300000,2868000,5273000,28216.0
517,27438,The Charge of the Light Brigade,1936,71,,4177,"Oct 20, 1936",1936/10/20,The Charge of the Light Brigade,Charge-of-the-Light-Brigade-The,Not Rated,Not-Rated-(US),115.0,,,,,Based on Real Life Events,Based-on-Real-Life-Events,Action,Action,Live Action,Live-Action,Dramatization,Dramatization,,,United States,United-States,English,English,1200000,0,0,27438.0
1000,29583,Snow White and the Seven Dwarfs,1937,76,95.0,168091,"Dec 21, 1937",1937/12/21,Snow White and the Seven Dwarfs,Snow-White-and-the-Seven-Dwarfs,G,G-(US),83.0,,,Intertitle;Prologue;Royalty;Dwarves;Prince/Princess;Love at First Sight;Step-Family;Mute,Intertitle;Prologue;Royalty;Dwarves;Prince-Princess;Love-at-First-Sight;Step-Family;Mute,Based on Folk Tale/Legend/Fairytale,Based-on-Folk-Tale-Legend-or-Fairytale,Musical,Musical,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,Walt Disney Pictures,Walt-Disney-Pictures,United States,United-States,English,English,1488000,184925486,184925486,29583.0
1503,30993,You Can't Take It with You,1938,79,,21556,"Sep 1, 1938",1938/09/01,You Can't Take It With You,You-Cant-Take-It-With-You,Not Rated,Not-Rated-(US),126.0,,,,,,,,,,,,,,,United States,United-States,English,English,1644000,4000000,4000000,30993.0
1532,29852,Alexander's Ragtime Band,1938,69,,1772,"May 24, 1938",1938/05/24,Alexander's Ragtime Band,Alexanders-Ragtime-Band,Not Rated,Not-Rated-(US),106.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,2000000,4000000,4000000,29852.0
2000,32138,The Wizard of Oz,1939,80,100.0,356739,"Aug 25, 1939",1939/08/25,The Wizard of Oz,Wizard-of-Oz-The,PG-13,PG-13-(US),101.0,Wizard of Oz,Wizard-of-Oz,"Same Actor, Multiple Roles;3D Re-release;Living Scarecrow;3-D;3-D - Post-production Conversion;IMAX: DMR",Same-Actor-Multiple-Roles;3D-Rerelease;Living-Scarecrow;3-D;3-D-Post-Production-Conversion;IMAX-DMR,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Musical,Musical,Live Action,Live-Action,Fantasy,Fantasy,,,United States,United-States,English,English,2777000,34063405,34305476,32138.0
2001,31381,Gone with the Wind,1939,81,97.0,268882,"Dec 15, 1939",1939/12/15,Gone with the Wind,Gone-with-the-Wind,G,G-(US),220.0,,,Civil War;War,Civil-War;War,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,Metro-Goldwyn-Mayer Pictures,Metro-Goldwyn-Mayer-Pictures,United States,United-States,English,English,3900000,198680470,390525192,31381.0
2002,31679,Mr. Smith Goes to Washington,1939,81,73.0,99907,"Oct 17, 1939",1939/10/17,Mr. Smith Goes To Washington,Mr-Smith-Goes-To-Washington,Not Rated,Not-Rated-(US),129.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,1500000,9000000,9000000,31679.0
2021,31022,The Adventures of Sherlock Holmes,1939,74,,5797,"Jul 26, 1996",1996/07/26,The Adventures of Pinocchio,Adventures-of-Pinocchio-The,G,G-(US),96.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Animation/Live Action,Animation-and-Live-Action,Fantasy,Fantasy,New Line Cinema;Savoy Pictures;Kushner-Locke Company;Two Continental Films;Pangaea Holdings,New-Line-Cinema;Savoy-Pictures;Kushner-Locke-Company;Two-Continental-Films;Pangaea-Holdings,France;Germany;Italy;Malaysia;United Kingdom,France;Germany;Italy;Malaysia;United-Kingdom,English;Italian,English;Italian,25000000,15382170,36682170,31022.0
2501,32910,Pinocchio,1940,74,99.0,119532,"Feb 9, 1940",1940/02/09,Pinocchio,Pinocchio-(1940),G,G-(US),87.0,,,Living Toys;Human Animal Tranformation;Fairy Godmother;Animal Lead;Talking Animals;Marooned;Rescue;Prologue;Coming of Age;Juvenile Delinquent;Kidnap,Living-Toys;Human-Animal-Tranformation;Fairy-Godmother;Animal-Lead;Talking-Animals;Marooned;Rescue;Prologue;Coming-of-Age;Juvenile-Delinquent;Kidnap,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,,,United States,United-States,English,English,2289247,84300000,84300000,32910.0
2502,32976,Rebecca,1940,81,,113040,"Mar 21, 1940",1940/03/21,Rebecca,Rebecca,Not Rated,Not-Rated-(US),130.0,,,Film Noir;Voiceover/Narration;Romance;Orphan;Unnamed Character;Directing Yourself;Infidelity;Suicide;Relationships Gone Wrong;Surprise Twist;Terminal Illness;Cross-Class Romance;LGBT;Accidental Death;Prologue,Film-Noir;Voiceover-Narration;Romance;Orphan;Unnamed-Character;Directing-Yourself;Infidelity;Suicide;Relationships-Gone-Wrong;Surprise-Twist;Terminal-Illness;Cross-Class-Romance;LGBT;Accidental-Death;Prologue,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,1288000,6000000,6002370,32976.0
2503,32455,Fantasia,1940,78,96.0,83025,"Nov 13, 1940",1940/11/13,Fantasia,Fantasia,G,G-(US),126.0,Fantasia,Fantasia,,,Compilation,Compilation,Musical,Musical,Hand Animation,Hand-Animation,Multiple Creative Types,Multiple-Creative-Types,Walt Disney Pictures,Walt-Disney-Pictures,United States,United-States,English,English,2280000,83320000,83320000,32455.0
2536,32273,Boom Town,1940,71,,2871,"Aug 30, 1940",1940/08/30,Boom Town,Boom-Town,Not Rated,Not-Rated-(US),119.0,,,,,Original Screenplay,Original-Screenplay,,,Live Action,Live-Action,,,,,United States,United-States,English,English,2000000,9172000,9172000,32273.0
3005,33729,How Green Was My Valley,1941,77,,19545,"Oct 28, 1941",1941/10/28,How Green Was My Valley,How-Green-Was-My-Valley,Not Rated,Not-Rated-(US),118.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,,,,,,,,,United States,United-States,English;Welsh,English;Welsh,1250000,0,0,33729.0
3499,34583,Casablanca,1942,85,100.0,486106,"Jan 23, 1943",1943/01/23,Casablanca,Casablanca,PG,PG-(US),99.0,,,World War II;Film Noir;War;Romance;Resistance Fighter;Nazis;Immigration;Corrupt Cops,World-War-II;Film-Noir;War;Romance;Resistance-Fighter;Nazis;Immigration;Corrupt-Cops,Based on Play,Based-on-Play,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,Hal B. Wallis,Hal-B-Wallis,United States,United-States,English,English,1039000,10462500,10498348,34583.0
3500,34492,Bambi,1942,73,91.0,121166,"Aug 13, 1942",1942/08/13,Bambi,Bambi,G,G-(US),70.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,Walt Disney Animation Studios,Walt-Disney-Animation-Studios,United States,United-States,English,English,858000,102797000,268000000,34492.0
3505,34587,Cat People,1942,73,,17949,"Nov 16, 1942",1942/11/16,Cat People,Cat-People,Not Rated,Not-Rated-(US),73.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Fantasy,Fantasy,,,United States,United-States,English,English,134000,4000000,8000000,34587.0
4039,35959,A Guy Named Joe,1943,70,,2059,"Dec 24, 1943",1943/12/24,A Guy Named Joe,Guy-Named-Joe-A,Not Rated,Not-Rated-(US),122.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,2627000,5363000,5363000,35959.0
4561,36628,Bathing Beauty,1944,66,,1361,"Jun 27, 1944",1944/06/27,Bathing Beauty,Bathing-Beauty,Not Rated,Not-Rated-(US),101.0,,,,,Original Screenplay,Original-Screenplay,Musical,Musical,Live Action,Live-Action,,,,,United States,United-States,English,English,2361000,3500000,3500000,36628.0
4562,37465,Wilson,1944,64,,1351,"Aug 1, 1944",1944/08/01,Wilson,Wilson-(1944),Not Rated,Not-Rated-(US),154.0,,,,,,,,,,,,,,,United States,United-States,English,English,5200000,2000000,2000000,37465.0
4999,38109,Spellbound,1945,76,,40017,"Oct 31, 1945",1945/10/31,Spellbound,Spellbound,Not Rated,Not-Rated-(US),111.0,,,Film Noir;Mental Illness;Medical and Hospitals;Mistaken Identity;Surprise Twist;Fugitive / On the Run;Suicide;Epilogue;Prologue;Wrongfully Convicted;Directing Yourself,Film-Noir;Mental-Illness;Medical-and-Hospitals;Mistaken-Identity;Surprise-Twist;Fugitive;Suicide;Epilogue;Prologue;Wrongfully-Convicted;Directing-Yourself,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,1500000,7000000,7000000,38109.0
5001,37884,The Lost Weekend,1945,79,,31127,"Nov 29, 1945",1945/11/29,The Lost Weekend,Lost-Weekend-The,Not Rated,Not-Rated-(US),99.0,,,Film Noir,Film-Noir,,,,,,,,,,,United States,United-States,English,English,1250000,11000000,11000000,37884.0
5053,38213,The Valley of Decision,1945,74,,1637,"May 3, 1945",1945/05/03,The Valley of Decision,Valley-of-Decision-The,Not Rated,Not-Rated-(US),119.0,,,,,,,,,,,,,,,United States,United-States,English,English,2160000,9132000,9132000,38213.0
5499,38650,It's a Wonderful Life,1946,86,89.0,365239,"Dec 20, 1946",1946/12/20,Its a Wonderful Life,Its-a-Wonderful-Life,PG,PG-(US),130.0,,,Heaven and Hell;Voiceover/Narration;Non-Chronological;Christmas;Angels;Suicide;Class Warfare;Supernatural,Heaven-and-Hell;Voiceover-Narration;Non-Chronological;Christmas;Angels;Suicide;Class-Warfare;Supernatural,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,3180000,6600000,10768908,38650.0
5500,38787,Notorious,1946,79,100.0,86474,"Aug 15, 1946",1946/08/15,Notorious,Notorious-(1946),Not Rated,Not-Rated-(US),101.0,,,Film Noir;Political;Nazis;Undercover;Suicide;Secret Agent;Romance;Directing Yourself,Film-Noir;Political;Nazis;Undercover;Suicide;Secret-Agent;Romance;Directing-Yourself,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,United States,United-States,English,English,2000000,24464742,24492698,38787.0
5502,36868,The Best Years of Our Lives,1946,80,92.0,54072,"Nov 21, 1946",1946/11/21,The Best Years of Our Lives,Best-Years-of-Our-Lives-The,Not Rated,Not-Rated-(US),172.0,,,World War II;War,World-War-II;War,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,2100000,23600000,23600000,36868.0
5513,38499,Duel in the Sun,1946,68,,7548,"Dec 31, 1946",1946/12/31,Duel in the Sun,Duel-in-the-Sun,Not Rated,Not-Rated-(US),145.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Western,Western,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,United States,United-States,English,English,6000000,20400000,20400000,38499.0
5532,38589,The Harvey Girls,1946,71,,3228,"Jan 18, 1946",1946/01/18,The Harvey Girls,Harvey-Girls-The,Not Rated,Not-Rated-(US),102.0,,,,,,,Musical,Musical,Live Action,Live-Action,,,,,United States,United-States,English,English,2931000,4100000,4100000,38589.0
6001,40525,The Lady from Shanghai,1947,76,,23997,"Dec 24, 1947",1947/12/24,The Lady from Shanghai,Lady-from-Shanghai-The,Not Rated,Not-Rated-(US),88.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,Cantonese;English,Cantonese;English,2000000,0,0,40525.0
6006,39416,Gentleman's Agreement,1947,72,,13655,"Nov 11, 1947",1947/11/11,Gentleman's Agreement,Gentlemans-Agreement,Not Rated,Not-Rated-(US),118.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,2000000,7800000,7800000,39416.0
6503,40724,Red River,1948,78,,25972,"Aug 26, 1948",1948/08/26,Red River,Red-River,Not Rated,Not-Rated-(US),133.0,,,,,,,,,,,,,,,United States,United-States,English,English,3000000,9012000,9012000,40724.0
6532,40694,The Pirate,1948,70,,4032,"May 20, 1948",1948/05/20,The Pirate,Pirate-The,Not Rated,Not-Rated-(US),102.0,,,,,,,,,,,,,,,United States,United-States,English,English,3700000,2956000,2956000,40694.0
7004,41866,She Wore a Yellow Ribbon,1949,73,,14543,"Jul 26, 1949",1949/07/26,She Wore a Yellow Ribbon,She-Wore-a-Yellow-Ribbon,Not Rated,Not-Rated-(US),103.0,,,,,,,,,,,,,,,United States,United-States,English,English,1600000,5400000,5400000,41866.0
7010,41094,The Adventures of Ichabod and Mr. Toad,1949,70,74.0,11137,"Jun 30, 2000",2000/06/30,The Adventures of Rocky & Bullwinkle,Adventures-of-Rocky-and-Bullwinkle-The,PG,PG-(US),92.0,,,,,Based on TV,Based-on-TV,Adventure,Adventure,Live Action,Live-Action,Kids Fiction,Kids-Fiction,Tribeca Film,Tribeca-Film,United States,United-States,English,English,76000000,26000610,35129610,41094.0
7012,41841,Sands of Iwo Jima,1949,71,,8812,"Dec 14, 1949",1949/12/14,Sands of Iwo Jima,Sands-of-Iwo-Jima,Not Rated,Not-Rated-(US),100.0,,,,,,,,,,,,,,,United States,United-States,English,English,1000000,7800000,7800000,41841.0
7501,42332,Cinderella,1950,73,85.0,134642,"Feb 15, 1950",1950/02/15,Cinderella,Cinderella-(1950),G,G-(US),74.0,Cinderella,Cinderella,Prince/Princess;Step-Family;Animal Lead;Royalty;Romance;Dysfunctional Family;Orphan;Voiceover/Narration;Prologue;Talking Animals;Dream Sequence;Spoiled Child,Prince-Princess;Step-Family;Animal-Lead;Royalty;Romance;Dysfunctional-Family;Orphan;Voiceover-Narration;Prologue;Talking-Animals;Dream-Sequence;Spoiled-Child,Based on Folk Tale/Legend/Fairytale,Based-on-Folk-Tale-Legend-or-Fairytale,Musical,Musical,Hand Animation,Hand-Animation,Fantasy,Fantasy,,,United States,United-States,English,English,2900000,85000000,263591415,42332.0
7525,42200,Annie Get Your Gun,1950,69,77.0,4066,"May 17, 1950",1950/05/17,Annie Get Your Gun,Annie-Get-Your-Gun,Not Rated,Not-Rated-(US),107.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Musical,Musical,Live Action,Live-Action,,,,,United States,United-States,English,English,3768785,8000000,8000000,42200.0
7999,43274,Alice in Wonderland,1951,74,68.0,119046,"Jul 28, 1951",1951/07/28,Alice in Wonderland,Alice-in-Wonderland-(1951),G,G-(US),75.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Musical,Musical,,,,,,,United States,United-States,English,English,3000000,0,0,43274.0
8000,44079,Strangers on a Train,1951,80,88.0,116120,"Jul 3, 1951",1951/07/03,Strangers on a Train,Strangers-on-a-Train,PG,PG-(US),101.0,,,Film Noir,Film-Noir,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,1200000,7000000,7019967,44079.0
8001,44081,A Streetcar Named Desire,1951,80,96.0,93029,"Sep 18, 1951",1951/09/18,A Streetcar Named Desire,Streetcar-Named-Desire-A,PG,PG-(US),125.0,,,,,Based on Play,Based-on-Play,,,,,,,,,United States,United-States,English,English,1800000,8000000,8000000,44081.0
8002,43456,The Day the Earth Stood Still,1951,77,,73178,"Dec 12, 2008",2008/12/12,The Day the Earth Stood Still,Day-the-Earth-Stood-Still-The,PG-13,PG-13-(US),103.0,,,Alien Invasion;IMAX: DMR;Search for Extraterrestrial Life;First Contact;Motion Capture Performance,Alien-Invasion;IMAX-DMR;Search-for-Extraterrestrial-Life;First-Contact;Motion-Capture-Performance,Remake,Remake,Adventure,Adventure,Live Action,Live-Action,Science Fiction,Science-Fiction,20th Century Fox;Dune Entertainment;3 Arts Entertainment,20th-Century-Fox;Dune-Entertainment;3-Arts-Entertainment,United States,United-States,English,English,80000000,79366978,237370350,43456.0
8002,43456,The Day the Earth Stood Still,1951,77,,73178,"Sep 18, 1951",1951/09/18,The Day the Earth Stood Still,Day-the-Earth-Stood-Still-The-(1951),G,G-(US),91.0,,,First Contact,First-Contact,,,,,,,,,,,United States,United-States,English,English,1200000,3700000,3700000,43456.0
8010,43949,Quo Vadis,1951,72,,12503,"Feb 23, 1951",1951/02/23,Quo Vadis?,Quo-Vadis,Not Rated,Not-Rated-(US),171.0,,,,,Based on Religious Text,Based-on-Religious-Text,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,United States,United-States,English,English,8250000,30000000,30028684,43949.0
8027,44030,Show Boat,1951,69,,4202,"Jul 17, 1951",1951/07/17,Show Boat,Show-Boat,Not Rated,Not-Rated-(US),107.0,,,,,,,,,,,,,,,United States,United-States,English,English,2300000,11000000,11000000,44030.0
8499,45152,Singin' in the Rain,1952,83,99.0,201879,"Apr 10, 1952",1952/04/10,Singin' in the Rain,Singin-in-the-Rain,G,G-(US),103.0,,,Movie Business,Movie-Business,,,,,,,,,,,United States,United-States,English,English,2540000,7200000,7232802,45152.0
8500,44706,High Noon,1952,79,89.0,91807,"Jul 24, 1952",1952/07/24,High Noon,High-Noon,PG,PG-(US),85.0,,,Film Noir;Real Time,Film-Noir;Real-Time,,,,,,,,,,,United States,United-States,English,English,730000,8000000,8000000,44706.0
8507,44672,The Greatest Show on Earth,1952,66,,11849,"Jan 10, 1952",1952/01/10,The Greatest Show on Earth,Greatest-Show-on-Earth-The,Not Rated,Not-Rated-(US),152.0,,,,,,,,,,,,,,,United States,United-States,English,English,4000000,36000000,36000000,44672.0
9000,46183,Peter Pan,1953,73,76.0,115550,"Dec 25, 2003",2003/12/25,Peter Pan,Peter-Pan-(2003),PG,PG-(US),113.0,Peter Pan,Peter-Pan,Pirates;Fairies,Pirates;Fairies,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Live Action,Live-Action,Fantasy,Fantasy,Universal Pictures;Columbia Pictures;Revolution Studios,Universal-Pictures;Columbia-Pictures;Revolution-Studios,United States,United-States,English,English,100000000,48417850,95255485,46183.0
9000,46183,Peter Pan,1953,73,76.0,115550,"Feb 5, 1953",1953/02/05,Peter Pan,Peter-Pan-(1953),PG,PG-(US),76.0,Peter Pan,Peter-Pan,Pirates;Fairies;Voiceover/Narration;Native Americans;Revenge;Coming of Age,Pirates;Fairies;Voiceover-Narration;Native-Americans;Revenge;Coming-of-Age,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Hand Animation,Hand-Animation,Fantasy,Fantasy,,,United States,United-States,English,English,4000000,87400000,87400000,46183.0
9004,45793,From Here to Eternity,1953,76,85.0,40054,"Aug 5, 1953",1953/08/05,From Here to Eternity,From-Here-to-Eternity,Not Rated,Not-Rated-(US),118.0,,,,,,,,,,,,,,,United States,United-States,English,English,1650000,30500000,30500000,45793.0
9013,45888,House of Wax,1953,71,,14865,"Apr 10, 1953",1953/04/10,House of Wax,House-of-Wax,R,R-(US),88.0,,,Visual Effects,Visual-Effects,,,,,,,,,,,United States,United-States,English,English,658000,23800000,23800000,45888.0
9014,46126,Niagara,1953,70,,13647,"Jan 21, 1953",1953/01/21,Niagara,Niagara,Not Rated,Not-Rated-(US),88.0,,,Film Noir;Mental Illness;PTSD;Relationships Gone Wrong;Infidelity;Domestic Abuse;Voiceover/Narration;Faked Death;Death of a Spouse or Fiance / Fianc;Mariticide / Uxoricide;Honeymoon,Film-Noir;Mental-Illness;PTSD;Relationships-Gone-Wrong;Infidelity;Domestic-Abuse;Voiceover-Narration;Faked-Death;Death-of-a-Spouse-or-Fiancee-Fiance;Mariticide;Honeymoon,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,1250000,2500000,2500000,46126.0
9023,46247,The Robe,1953,67,,8455,"Sep 16, 1953",1953/09/16,The Robe,Robe-The,Not Rated,Not-Rated-(US),135.0,,,,,Based on Religious Text,Based-on-Religious-Text,,,,,,,,,United States,United-States,English,English,5000000,36000000,36008303,46247.0
9500,47478,Seven Samurai,1954,86,98.0,291023,"Nov 19, 1956",1956/11/19,Shichinin no samurai,Shichinin-no-samurai,Not Rated,Not-Rated-(US),207.0,,,Foreign Language,Foreign-Language,Original Screenplay,Original-Screenplay,Action,Action,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,Japan,Japan,Japanese,Japanese,500000,271736,271736,47478.0
9502,47296,On the Waterfront,1954,81,91.0,131227,"Jul 28, 1954",1954/07/28,On the Waterfront,On-the-Waterfront,Not Rated,Not-Rated-(US),108.0,,,Mafia;Boxing;Throwing a Fight / Match,Mafia;Boxing;Throwing-a-Fight-Match,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,910000,9600000,9600000,47296.0
9506,46672,"20,000 Leagues Under the Sea",1954,72,83.0,26517,"Dec 23, 1954",1954/12/23,"20,000 Leagues Under the Sea",20000-Leagues-Under-the-Sea-(1954),G,G-(US),127.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Live Action,Live-Action,,,,,United States,United-States,English,English,5000000,28200000,28200000,46672.0
9538,46949,The Egyptian,1954,66,,3281,"Aug 24, 1954",1954/08/24,The Egyptian,Egyptian-The,Not Rated,Not-Rated-(US),136.0,,,,,,,,,,,,,,,United States,United-States,English,English,5000000,15000000,15000000,46949.0
10006,48750,The Trouble with Harry,1955,71,74.0,30991,"Oct 3, 1955",1955/10/03,The Trouble with Harry,Trouble-With-Harry-The,PG,PG-(US),99.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,,,,,United States,United-States,English,English,1200000,7000000,7000000,48750.0
10218,48259,The King's Thief,1955,57,,508,"Aug 5, 1955",1955/08/05,The Kings Thief,Kings-Thief-The,Not Rated,Not-Rated-(US),78.0,,,,,,,,,,,,,,,United States,United-States,English,English,1577000,0,0,48259.0
10501,49833,The Ten Commandments,1956,78,,58437,"Oct 5, 1956",1956/10/05,The Ten Commandments,Ten-Commandments-The-(1956),G,G-(US),220.0,,,Visual Effects;Religious;Voiceover/Narration;Prologue,Visual-Effects;Religious;Voiceover-Narration;Prologue,Based on Religious Text,Based-on-Religious-Text,Drama,Drama,Live Action,Live-Action,Dramatization,Dramatization,,,United States,United-States,English,English,13500000,85400591,85434516,49833.0
10506,51207,The Wrong Man,1956,74,,23404,"Dec 23, 1956",1956/12/23,The Wrong Man,Wrong-Man-The,Not Rated,Not-Rated-(US),105.0,,,Film Noir,Film-Noir,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,,,,,United States,United-States,English,English,1200000,2000000,2000000,51207.0
10507,48960,Around the World in 80 Days,1956,68,,22614,"Oct 17, 1956",1956/10/17,Around the World in 80 Days,Around-the-World-in-80-Days,PG,PG-(US),182.0,Around the World in 80 Days,Around-the-World-in-80-Days,Gratuitous Cameos,Gratuitous-Cameos,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Live Action,Live-Action,,,,,United States,United-States,English,English,6000000,42000000,42000000,48960.0
10510,49513,Moby Dick,1956,73,,15867,"Jun 27, 1956",1956/06/27,Moby Dick,Moby-Dick,Not Rated,Not-Rated-(US),116.0,,,Animals Gone Bad,Animals-Gone-Bad,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,United States,United-States,English,English,4500000,10400000,10400000,49513.0
10520,49934,War and Peace,1956,68,,8355,"Aug 21, 1956",1956/08/21,War and Peace,War-and-Peace,PG,PG-(US),208.0,,,,,,,,,,,,,,,Italy;United States,Italy;United-States,English;Italian;Russian,English;Italian;Russian,6000000,12500000,12523097,49934.0
10532,49055,Carousel,1956,66,,5392,"Feb 16, 1956",1956/02/16,Carousel,Carousel-(1956),Not Rated,Not-Rated-(US),128.0,,,,,Based on Musical or Opera,Based-on-Musical-or-Opera,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,3380000,0,3604,49055.0
10541,49875,Trapeze,1956,68,,3871,"May 30, 1956",1956/05/30,Trapeze,Trapeze,Not Rated,Not-Rated-(US),105.0,,,,,,,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English;Italian,English;Italian,4000000,14400000,14400000,49875.0
10543,49452,Love Me Tender,1956,62,,3330,"Nov 15, 1956",1956/11/15,Love Me Tender,Love-Me-Tender,Not Rated,Not-Rated-(US),89.0,,,Civil War;Romance;Love Triangle;Intertitle;Dysfunctional Family;Sibling Rivalry,Civil-War;Romance;Love-Triangle;Intertitle;Dysfunctional-Family;Sibling-Rivalry,Original Screenplay,Original-Screenplay,Western,Western,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,United States,United-States,English,English,1000000,9000000,9000000,49452.0
10761,49140,Diane,1956,62,,377,"Jan 12, 1956",1956/01/12,Diane,Diane-(1956),Not Rated,Not-Rated-(US),110.0,,,,,,,,,,,Historical Fiction,Historical-Fiction,Metro-Goldwyn-Mayer Pictures,Metro-Goldwyn-Mayer-Pictures,United States,United-States,English,English,2660000,0,0,49140.0
10999,50083,12 Angry Men,1957,89,96.0,614262,"Apr 13, 1957",1957/04/13,12 Angry Men,12-Angry-Men,Not Rated,Not-Rated-(US),96.0,,,Courtroom Drama,Courtroom-Drama,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,340000,0,0,50083.0
