Index,Release Date,Title,Production Budget,Domestic Gross,Worldwide Gross,MPAA Rating,Running Time,Source,Genre,Production Method,Creative Type
1387,3/20/2009,"I Love You, Man",40000000,72013010,92302502,R,105,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1388,11/9/2001,Shallow Hal,40000000,70836296,70836296,PG-13,114,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1389,12/20/1991,JFK,40000000,70405498,205400000,R,189,Based on Fiction Book/Short Story,Drama,Live Action,Dramatization
1390,1/27/2006,Big Momma's House 2,40000000,70165972,137047376,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1391,9/21/2018,The House with a Clock in its Walls,40000000,68549695,126335253,PG,105,Based on Fiction Book/Short Story,Horror,Live Action,Fantasy
1392,11/4/2016,Hacksaw Ridge,40000000,67209615,168904716,R,138,Based on Real Life Events,Drama,Live Action,Dramatization
1393,3/2/2001,The Mexican,40000000,66808615,145238250,R,122,Original Screenplay,Action,Live Action,Contemporary Fiction
1394,8/28/2009,The Final Destination,40000000,66477700,187384627,R,81,Original Screenplay,Horror,Live Action,Fantasy
1395,4/17/2009,17 Again,40000000,64167069,139474906,PG-13,102,Original Screenplay,Comedy,Live Action,Fantasy
1396,2/18/2011,Unknown,40000000,63686397,136123083,PG-13,108,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1397,6/4/2010,Get Him to the Greek,40000000,61153526,91455875,R,108,Spin-Off,Comedy,Live Action,Contemporary Fiction
1398,11/21/2003,Gothika,40000000,59588068,141484812,R,95,Original Screenplay,Horror,Live Action,Contemporary Fiction
1399,11/30/2001,Behind Enemy Lines,40000000,58855732,58855732,PG-13,106,Original Screenplay,Action,Live Action,Historical Fiction
1400,3/18/2011,The Lincoln Lawyer,40000000,58009200,87145086,R,119,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction
1401,10/15/2004,Shall We Dance?,40000000,57887882,118097882,PG-13,106,Remake,Romantic Comedy,Live Action,Contemporary Fiction
1402,8/25/2006,Invincible,40000000,57806952,58501127,PG,104,Based on Real Life Events,Drama,Live Action,Dramatization
1403,2/15/2013,Escape From Planet Earth,40000000,57012977,74156610,PG,89,Original Screenplay,Adventure,Digital Animation,Kids Fiction
1404,7/10/1998,Small Soldiers,40000000,55143823,71743823,PG-13,110,Original Screenplay,Adventure,Live Action,Kids Fiction
1405,7/31/1997,Spawn,40000000,54979992,87949859,PG-13,96,Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction
1406,11/26/2014,Horrible Bosses 2,40000000,54445357,105945357,R,108,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1407,1/25/2002,The Count of Monte Cristo,40000000,54228104,75389090,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
1408,10/20/2006,The Prestige,40000000,53089891,104407366,PG-13,130,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction
1409,6/16/2006,The Lake House,40000000,52330111,114830111,PG,99,Remake,Drama,Live Action,Fantasy
1410,7/9/2010,Predators,40000000,52000688,127234389,R,107,Original Screenplay,Action,Live Action,Science Fiction
1411,8/15/2012,The Odd Life of Timothy Green,40000000,51853450,55249159,PG,104,Original Screenplay,Drama,Live Action,Fantasy
1412,7/31/1987,The Living Daylights,40000000,51185000,191200000,PG,130,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction
1413,12/8/2006,Apocalypto,40000000,50866635,121032272,R,138,Original Screenplay,Action,Live Action,Historical Fiction
1414,2/14/2007,Music and Lyrics,40000000,50572589,146196885,PG-13,104,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1415,6/18/1986,Legal Eagles,40000000,49851591,49851591,PG,116,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1416,3/12/2004,Secret Window,40000000,47958031,92111551,PG-13,95,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Fantasy
1417,8/12/2005,The Skeleton Key,40000000,47907715,92256918,PG-13,,Original Screenplay,Horror,Live Action,Contemporary Fiction
1418,6/20/2014,Jersey Boys,40000000,47047013,65282732,R,132,Based on Real Life Events,Drama,Live Action,Dramatization
1419,5/2/2008,Made of Honor,40000000,46012734,106548738,PG-13,101,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1420,11/21/1997,The Rainmaker,40000000,45916769,45916769,PG-13,137,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction
1421,2/7/1992,Medicine Man,40000000,44948240,44948240,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction
1422,12/12/1997,Amistad,40000000,44212592,58250151,R,152,Based on Real Life Events,Drama,Live Action,Dramatization
1423,5/30/2014,A Million Ways to Die in The West,40000000,42720965,86778557,R,115,Original Screenplay,Comedy,Live Action,Historical Fiction
1424,8/12/2011,Final Destination 5,40000000,42587643,155011165,R,95,Original Screenplay,Horror,Live Action,Fantasy
1425,11/16/2018,Widows,40000000,42360789,73842424,R,129,Based on TV,Thriller/Suspense,Live Action,Contemporary Fiction
1426,4/8/2005,Fever Pitch,40000000,42071069,50071069,PG-13,,Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction
1427,12/25/2007,Aliens vs. Predator - Requiem,40000000,41797066,128884494,R,94,Based on Movie,Action,Live Action,Science Fiction
1428,12/25/2007,The Water Horse: Legend of the Deep,40000000,40412817,103429755,PG,105,Based on Folk Tale/Legend/Fairytale,Drama,Live Action,Fantasy
1429,7/18/2014,Sex Tape,40000000,38543473,126069509,R,95,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1430,4/15/2011,Scream 4,40000000,38180928,95989590,R,110,Original Screenplay,Horror,Live Action,Contemporary Fiction
1431,12/21/1994,Ri¢hie Ri¢h,40000000,38087756,38087756,PG,,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1432,8/11/2000,Autumn in New York,40000000,37752931,90717684,PG-13,103,Original Screenplay,Drama,Live Action,Contemporary Fiction
1433,3/18/2011,Paul,40000000,37412945,101162106,R,105,Original Screenplay,Comedy,Live Action,Science Fiction
1434,12/19/2012,The Guilt Trip,40000000,37134215,41294674,PG-13,95,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1435,8/26/2011,Colombiana,40000000,36665854,72295262,PG-13,107,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1436,2/26/1999,8MM,40000000,36443442,96398826,R,123,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1437,1/12/2018,The Commuter,40000000,36343858,101985431,PG-13,105,Original Screenplay,Action,Live Action,Contemporary Fiction
1438,2/18/2000,Hanging Up,40000000,36037909,51867723,PG-13,94,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1439,3/1/1991,The Doors,40000000,34416893,34416893,R,,Based on Real Life Events,Drama,Live Action,Dramatization
1440,8/20/1999,Mickey Blue Eyes,40000000,33864342,53864342,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1441,10/20/2000,Pay it Forward,40000000,33508922,55696705,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction
1442,4/8/2011,Arthur,40000000,33035397,47787943,PG-13,110,Remake,Comedy,Live Action,Contemporary Fiction
1443,3/21/2008,Drillbit Taylor,40000000,32862104,49686263,PG-13,102,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1444,12/21/2016,Patriots Day,40000000,31886361,52837989,R,130,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization
1445,12/25/2011,Extremely Loud and Incredibly Close,40000000,31847881,55247881,PG-13,129,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
1446,7/1/1994,The Shadow,40000000,31835600,31835600,PG-13,,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
1447,11/26/2008,Transporter 3,40000000,31715062,107235592,PG-13,103,Original Screenplay,Action,Live Action,Contemporary Fiction
1448,11/10/2010,Morning Glory,40000000,31011732,59795070,PG-13,110,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1449,11/9/2005,Get Rich or Die Tryin',40000000,30981850,46666955,R,117,Original Screenplay,Drama,Live Action,Contemporary Fiction
1450,8/25/2000,The Art of War,40000000,30199105,30199105,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1451,12/25/2013,Grudge Match,40000000,29807260,69807260,PG-13,113,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1452,8/11/2000,Bless the Child,40000000,29374178,40435694,R,107,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Fantasy
1453,11/23/2005,Rent,40000000,29077547,31670620,PG-13,,Based on Musical or Opera,Musical,Live Action,Historical Fiction
1454,4/2/1999,The Out-of-Towners,40000000,28544120,28544120,PG-13,,Remake,Comedy,Live Action,Contemporary Fiction
1455,8/11/2017,The Nut Job 2: Nutty by Nature,40000000,28370522,57438389,PG,91,Based on Fiction Book/Short Story,Adventure,Digital Animation,Kids Fiction
1456,8/23/1996,The Island of Dr. Moreau,40000000,27682712,27682712,PG-13,,Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction
1457,9/7/2001,The Musketeer,40000000,27053815,27053815,PG-13,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction
1458,1/27/2017,Resident Evil: The Final Chapter,40000000,26844692,314101190,R,106,Based on Game,Action,Live Action,Science Fiction
1459,2/29/2008,The Other Boleyn Girl,40000000,26814957,78269970,PG-13,115,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
1460,6/30/2017,The House,40000000,25584504,31192743,R,88,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1461,2/16/2001,Sweet November,40000000,25288103,65754228,PG-13,120,Remake,Drama,Live Action,Contemporary Fiction
1462,4/5/2007,The Reaping,40000000,25126214,62226214,R,96,Original Screenplay,Horror,Live Action,Fantasy
1463,1/7/2011,Season of the Witch,40000000,24827228,91126600,PG-13,98,Original Screenplay,Thriller/Suspense,Live Action,Fantasy
1464,6/3/1994,Renaissance Man,40000000,24172899,24172899,PG-13,128,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1465,5/15/1998,Quest for Camelot,40000000,22772500,38172500,G,,Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction
1466,9/6/2002,City by the Sea,40000000,22433915,22433915,R,108,Based on Factual Book/Article,Drama,Live Action,Contemporary Fiction
1467,1/15/1999,At First Sight,40000000,22365133,22365133,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction
1468,8/26/2016,Mechanic: Resurrection,40000000,21218403,109738840,R,98,Original Screenplay,Action,Live Action,Contemporary Fiction
1469,1/16/2004,Torque,40000000,21176322,46176322,PG-13,84,Original Screenplay,Action,Live Action,Contemporary Fiction
1470,11/13/2009,Fantastic Mr. Fox,40000000,21002919,47083412,PG,88,Based on Fiction Book/Short Story,Adventure,Stop-Motion Animation,Kids Fiction
1471,9/22/1995,Showgirls,40000000,20350754,37750754,NC-17,,Original Screenplay,Drama,Live Action,Contemporary Fiction
1472,2/16/1996,City Hall,40000000,20278055,20278055,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction
1473,2/3/2012,Big Miracle,40000000,20157300,25268680,PG,117,Based on Real Life Events,Drama,Live Action,Dramatization
